,Village_ID,Bridge Site,value,Bridge_Lon,Bridge_Lat,Center_point,Village_Lat,Village_Lon,Purpose of Travel for Summary
0,24030307,Gahororo,14,29.649033,-2.621482,POINT (29.63812124843728 -2.621439592134535),-2.621439592134535,29.638121248437276,Livelihood
1,24090103,Gahororo,1,29.649033,-2.621482,POINT (29.74705197936801 -2.598583784100765),-2.598583784100765,29.747051979368006,Other
2,24070508,Gahororo,1,29.649033,-2.621482,POINT (29.71196413407081 -2.552327487699527),-2.5523274876995274,29.711964134070808,Worship
3,24060402,Gahororo,5,29.649033,-2.621482,POINT (29.62051132783516 -2.517512052912601),-2.517512052912601,29.620511327835164,Other
4,24030505,Gahororo,176,29.649033,-2.621482,POINT (29.65094156770463 -2.626520194537172),-2.626520194537172,29.650941567704628,Livelihood
5,24030504,Gahororo,33,29.649033,-2.621482,POINT (29.65731357232775 -2.625116177397611),-2.6251161773976106,29.657313572327748,Other
6,23140302,Gahororo,2,29.649033,-2.621482,POINT (29.67293941347147 -2.6684999917146),-2.6684999917146004,29.67293941347147,Livelihood
7,23140501,Gahororo,4,29.649033,-2.621482,POINT (29.63355380033696 -2.639435869229248),-2.6394358692292483,29.633553800336962,Livelihood
8,24010101,Gahororo,1,29.649033,-2.621482,POINT (29.69300320133248 -2.650184934548087),-2.6501849345480872,29.693003201332484,Other
9,24030503,Gahororo,10,29.649033,-2.621482,POINT (29.65593388111075 -2.616878537632813),-2.616878537632813,29.65593388111075,Livelihood
10,24010202,Gahororo,8,29.649033,-2.621482,POINT (29.69673249261745 -2.6656166138465),-2.6656166138465003,29.69673249261745,Livelihood
11,24030502,Gahororo,101,29.649033,-2.621482,POINT (29.64433687370446 -2.632018287675776),-2.6320182876757756,29.644336873704457,Worship
12,23140303,Gahororo,11,29.649033,-2.621482,POINT (29.65874362582629 -2.663149333756235),-2.6631493337562353,29.658743625826286,Education
13,24020109,Gahororo,1,29.649033,-2.621482,POINT (29.67617351526193 -2.598217627555573),-2.598217627555573,29.67617351526193,Other
14,24020108,Gahororo,1,29.649033,-2.621482,POINT (29.69031546619919 -2.601726478333824),-2.601726478333824,29.690315466199188,Other
15,24030205,Gahororo,76,29.649033,-2.621482,POINT (29.66865645811728 -2.633627899421254),-2.633627899421254,29.668656458117276,Healthcare
16,24030204,Gahororo,61,29.649033,-2.621482,POINT (29.65256699635207 -2.640030448612762),-2.640030448612762,29.652566996352068,Healthcare
17,24030203,Gahororo,89,29.649033,-2.621482,POINT (29.64357024209722 -2.649663052495555),-2.6496630524955553,29.643570242097216,Other
